slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026,score_q3_2026,soc_code,tier,sub_task_automation,sub_tool_maturity,sub_adoption,sub_agentic_exposure,agentic_risk
it-support-specialist,IT Support Specialist,Technology,66,High,45000,75000,declining,5,3,Administering AI Helpdesk Agents,Cybersecurity Fundamentals,Cloud Platform & Identity Management,"AI helpdesk agents now resolve most tier-1 tickets -- resets, installs, routing -- without a human touch, and that volume was this role's core. The specialists still hired are the ones running and tuning those agents, or moving into security first-response and cloud identity work.",50,55,60,65,66,15-1232,1,70,80,68,62,High
systems-administrator,Systems Administrator,Technology,51,High,65000,115000,declining,5,3,"Infrastructure as Code (Terraform, Pulumi)",Cloud Architecture (AWS/Azure/GCP),Security & Compliance Automation,"Cloud automation and AI-ops tooling now run provisioning, patching, and backup verification without a human in the loop. The clearest path forward is cloud architecture, security hardening, and automation design rather than day-to-day server administration.",42,46,50,55,51,15-1244,1,56,72,56,54,High
business-intelligence-analyst,Business Intelligence Analyst,Technology,49,Moderate,70000,115000,mixed,4,3,"Directing AI BI Copilots (Power BI, Looker)",Metric Definition & Stakeholder Alignment,Anomaly Root-Cause Investigation,"AI BI copilots now build and refresh most recurring dashboards without an analyst touching the query. The role's future is in deciding what should be measured in the first place and chasing down why a metric moved, not in maintaining the pipeline that reports it.",,,,,49,15-1211,2,52,76,64,56,High
network-support-specialist,Network Support Specialist,Technology,49,Moderate,55000,90000,declining,4,3,Administering AI-Driven NOC Triage Tools,Network Security Fundamentals,Multi-Site Outage Diagnosis,"AI triage tools now resolve most known-fix network tickets before a specialist sees them. The path forward is running that triage layer and handling the multi-site, security-flavored incidents it can't close on its own.",,,,,49,15-1231,2,56,68,52,54,High
qa-test-engineer,QA/Test Engineer,Technology,49,High,75000,130000,mixed,5,3,Agentic Test Generation & Self-Healing Suites,AI/ML Model & Output Validation,Security & Resilience Testing,"Agentic test tools now write, run, and self-heal most regression suites, which is why routine QA is now a substantially agent-owned workflow. Engineers who validate AI system outputs and own security/performance test strategy are the ones still growing in value.",40,45,50,55,49,15-1253,1,56,66,52,52,High
data-analyst,Data Analyst,Technology,47,Moderate,65000,105000,mixed,4,3,"Directing AI BI Copilots (Power BI, Tableau, Looker)",Business Problem Framing & Insight Storytelling,SQL + AI-Assisted Data Modeling,AI BI copilots now write the queries and refresh the dashboards that used to be most of this job. Analysts who frame the business question and tell the story behind the numbers are pulling away from analysts who just build reports.,,,,,47,15-2051,1,50,74,62,54,High
database-administrator,Database Administrator,Technology,43,Moderate,80000,140000,stable,4,3,Cloud Database Architecture (AWS/Azure/GCP),Vector Database & RAG Data Layer Management,Data Security & Compliance Automation,"Autonomous cloud databases now handle tuning, patching, and backup verification without a human in the loop, which is why routine DBA work is the most automated slice of the Technology category. The growth path is data architecture for AI workloads, vector data layers, and security -- not day-to-day administration.",38,42,46,50,43,15-1242,1,48,72,55,46,Moderate
web-developer,Web Developer,Technology,40,Moderate,70000,140000,stable,4,3,"AI-Powered Development Tools (v0, Cursor, Copilot)",Full-Stack Architecture,AI/Agent Integration in Web Apps,"AI page-builders now ship standard sites and components with little human editing. Developers who own complex application logic, accessibility, and AI feature integration are the ones still commanding a premium.",30,35,40,45,40,15-1254,1,44,76,54,44,Moderate
devops-engineer,DevOps Engineer,Technology,35,Moderate,115000,185000,rising,4,3,AIOps & Agentic Pipeline Supervision,Cloud Security & Zero Trust Architecture,Platform Engineering Leadership,"AI now writes and maintains most CI/CD configuration and IaC boilerplate directly. Engineers who move into platform strategy, incident command, and security architecture are the ones whose value keeps climbing as the routine plumbing disappears.",22,25,28,30,35,15-1252,1,38,68,54,50,Moderate
data-engineer,Data Engineer,Technology,34,Low,115000,190000,rising,4,3,Agentic Pipeline Monitoring & Self-Healing ETL,Data Architecture for AI/RAG Workloads,Data Governance & Lineage Tooling,"AI now writes and self-heals most routine pipeline code, from ETL scripts to data-quality checks. The lasting work is architecting data platforms for AI training and RAG workloads, where governance and lineage decisions still need a person accountable for them.",,,,,34,15-1252,1,38,64,50,46,Moderate
